Embarcadero Station to Oracle Park,Montgomery BART Station to Oracle Park,Powell BART Station to Oracle Park,Oracle Park to Embarcadero Station,Oracle Park to Montgomery BART Station,Oracle Park to Powell BART Station
415.78999999999996,365.96000000000004,594.09,448.435,394.16999999999996,555.4949999999999
430.115,351.0399999999999,554.355,497.32499999999993,380.675,602.0550000000001
403.75,338.325,494.57500000000005,371.91499999999996,379.66,547.175
421.99,447.45000000000005,678.485,339.28,349.935,
467.84000000000003,575.13,772.1600000000001,378.31,414.7,650.0
423.29499999999996,429.29999999999995,547.935,401.145,351.025,
459.74,356.485,549.5799999999999,380.395,400.615,647.5450000000001
527.4449999999999,408.94500000000005,732.71,502.53999999999996,496.53000000000003,707.0050000000001
606.52,526.12,797.97,755.3399999999999,648.2349999999999,827.665
628.9300000000001,525.125,896.4749999999999,797.99,766.35,925.95
577.1800000000001,454.21,704.09,603.625,650.2049999999999,800.125
554.1700000000001,460.17,696.8050000000001,567.87,600.115,839.26
587.27,465.92499999999995,778.825,518.96,540.03,819.94
596.105,476.77,858.095,474.79499999999996,510.39,810.86
688.685,536.87,1062.095,501.255,544.2249999999999,860.83
698.3499999999999,586.17,838.495,534.0150000000001,579.31,853.2550000000001
818.53,622.6949999999999,903.045,590.84,660.97,944.71
891.6500000000001,657.9000000000001,952.38,689.34,779.325,1146.455
729.24,568.98,873.635,597.73,679.1949999999999,1002.555
540.64,450.495,741.355,472.82000000000005,546.315,844.8100000000001
502.455,445.04499999999996,735.6,432.28999999999996,492.38,692.415
495.25,453.82,729.7249999999999,437.33,480.235,679.88
459.89,407.395,673.8499999999999,433.97,475.21,665.71
422.095,380.58,595.3399999999999,389.385,425.15,588.0450000000001
