sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
3692,3792,12,515.89,453.23,446.18,1.63
3692,3792,19,472.61,242.37,426.9,1.54
3760,3792,9,804.55,350.47,745.66,1.46
3760,3792,14,1271.97,1364.75,929.03,2.0
3760,3792,18,885.49,398.67,818.2,1.46
3792,3692,4,427.57,263.28,358.84,1.8
3792,3760,2,587.71,152.35,565.07,1.34
3792,3760,10,763.96,257.19,723.84,1.39
3792,3760,19,846.39,357.85,786.31,1.46
3792,3760,20,722.38,394.9,671.75,1.41
3792,3603,18,617.29,327.53,557.96,1.53
3692,3792,2,342.08,164.53,314.91,1.47
3692,3792,18,576.3,320.88,513.94,1.59
3792,3692,5,345.43,189.26,310.05,1.55
3692,3792,21,409.4,204.04,370.67,1.54
3792,3692,9,780.36,367.47,699.24,1.62
3792,3760,6,582.46,180.48,557.29,1.34
3603,3792,8,586.67,272.66,558.26,1.34
3603,3792,10,575.34,198.43,546.24,1.38
3692,3792,0,361.57,240.61,321.3,1.55
3792,3692,11,590.85,326.82,529.81,1.57
3792,3760,7,782.33,486.49,694.55,1.58
3692,3792,4,539.2,273.18,478.59,1.63
3692,3792,13,511.14,308.3,449.9,1.62
3792,3692,1,385.99,206.83,348.13,1.54
3792,3692,2,386.47,220.45,339.95,1.63
3792,3692,3,319.63,123.88,301.44,1.38
3692,3792,10,437.27,215.74,397.6,1.52
3692,3792,22,382.12,184.8,348.33,1.51
3792,3760,15,920.89,462.76,825.42,1.58
3792,3760,16,957.21,405.48,879.98,1.51
3792,3760,17,1200.54,574.46,1083.36,1.57
3792,3760,18,988.3,358.43,927.66,1.43
3792,3603,0,485.02,377.23,426.97,1.52
3792,3603,1,523.0,294.07,468.26,1.54
3792,3603,2,430.0,111.02,417.51,1.27
3792,3603,11,579.85,252.08,541.8,1.42
3603,3792,3,446.21,289.21,409.78,1.43
3603,3792,6,463.62,143.85,446.54,1.3
3792,3692,20,497.99,305.04,442.65,1.58
3792,3760,1,679.44,427.69,589.12,1.65
3692,3792,8,482.2,359.09,435.88,1.49
3792,3603,17,697.47,346.26,630.25,1.55
3792,3603,12,531.26,225.97,498.87,1.4
3792,3603,14,531.02,251.07,490.87,1.45
3760,3792,4,696.25,303.76,635.29,1.53
3692,3792,11,488.89,260.19,437.92,1.57
3760,3792,11,755.77,481.46,664.89,1.58
3792,3603,23,376.07,109.56,362.17,1.31
3603,3792,7,512.03,163.28,490.97,1.33
3603,3792,11,559.14,191.13,532.19,1.36
3603,3792,14,719.62,434.21,649.5,1.51
3792,3603,5,381.93,105.8,369.45,1.29
3692,3792,7,382.6,227.48,352.57,1.43
3760,3792,5,604.31,238.38,566.82,1.41
3603,3792,18,750.94,342.46,688.15,1.51
3692,3792,6,349.36,178.37,318.89,1.49
3792,3760,21,676.88,363.17,618.43,1.48
3760,3792,20,776.21,335.52,711.72,1.54
3792,3692,13,498.51,303.68,449.76,1.52
3792,3692,10,627.86,324.93,558.92,1.61
3760,3792,21,730.17,262.91,688.2,1.4
3792,3760,9,886.29,331.87,827.12,1.46
3760,3792,8,797.61,367.77,737.89,1.45
3760,3792,19,778.7,283.55,734.73,1.4
3603,3792,17,908.23,473.8,812.83,1.59
3603,3792,22,436.74,165.28,412.04,1.39
3603,3792,23,409.02,154.35,386.65,1.38
3760,3792,3,653.7,318.11,588.7,1.57
3792,3760,23,579.38,203.22,544.79,1.43
3603,3792,2,394.89,119.73,377.78,1.35
3692,3792,14,580.55,668.91,477.09,1.72
3792,3603,3,339.28,69.88,332.46,1.22
3792,3603,4,374.92,91.08,364.75,1.26
3792,3603,6,378.35,78.92,370.58,1.22
3692,3792,3,474.48,326.92,392.18,1.8
3760,3792,17,967.25,455.23,876.81,1.55
3792,3760,11,855.36,328.02,800.25,1.43
3792,3760,12,835.65,278.03,789.4,1.41
3792,3760,13,804.59,374.18,749.51,1.42
3792,3760,14,936.57,509.08,844.46,1.52
3760,3792,0,628.33,283.53,577.34,1.49
3692,3792,9,525.05,299.19,473.49,1.54
3692,3792,17,660.32,377.32,581.13,1.63
3792,3603,15,552.09,262.4,508.45,1.47
3603,3792,20,508.8,195.51,478.21,1.42
3792,3603,8,789.87,276.93,741.22,1.44
3603,3792,21,473.08,188.69,442.87,1.43
3792,3692,15,612.88,365.58,533.78,1.67
3603,3792,13,599.14,270.33,559.66,1.42
3603,3792,1,479.01,260.67,434.41,1.51
3792,3692,7,492.48,222.67,452.68,1.49
3792,3692,21,465.86,207.82,428.15,1.5
3792,3760,0,527.68,182.95,501.08,1.37
3792,3692,17,778.08,424.66,679.25,1.68
3760,3792,6,555.87,217.97,527.08,1.36
3792,3760,22,678.72,252.17,638.08,1.41
3792,3692,0,410.46,249.55,366.02,1.57
3792,3603,10,627.05,243.14,586.61,1.43
3760,3792,16,915.43,455.65,827.86,1.54
3792,3603,16,602.6,291.88,552.76,1.48
3760,3792,2,526.15,185.77,499.49,1.37
3603,3792,0,431.51,172.54,403.35,1.45
3792,3692,8,674.92,327.98,608.37,1.57
3760,3792,12,848.66,619.8,730.28,1.62
3603,3792,16,835.49,452.91,749.2,1.58
3692,3792,15,582.53,363.49,507.38,1.65
3692,3792,20,444.51,217.91,402.58,1.54
3760,3792,10,704.73,317.9,652.61,1.45
3792,3692,12,529.89,258.91,479.01,1.55
3692,3792,23,375.08,199.38,339.17,1.52
3760,3792,13,1042.14,1025.4,823.68,1.79
3792,3692,6,415.67,192.39,381.25,1.5
3760,3792,22,662.4,246.2,622.18,1.42
3792,3760,8,821.37,270.04,777.49,1.4
3603,3792,9,632.65,193.71,605.37,1.35
3792,3692,16,675.73,390.5,590.25,1.66
3792,3603,19,479.79,238.64,443.34,1.44
3792,3603,7,502.05,153.7,481.62,1.33
3692,3792,1,344.39,194.65,308.44,1.55
3603,3792,4,460.49,210.58,427.16,1.44
3603,3792,15,704.3,324.75,651.71,1.46
3792,3603,9,837.95,352.3,762.27,1.57
3792,3603,13,479.06,233.62,450.65,1.37
3603,3792,19,549.92,211.55,516.88,1.41
3760,3792,1,577.9,189.93,546.98,1.4
3760,3792,7,639.42,334.14,583.94,1.48
3792,3692,18,717.65,388.4,629.82,1.66
3603,3792,12,577.76,219.14,544.28,1.43
3792,3692,22,457.58,236.5,414.48,1.56
3792,3692,19,570.25,293.58,507.36,1.61
3792,3692,14,558.29,340.64,491.66,1.61
3760,3792,23,606.14,233.06,572.32,1.39
3792,3603,21,412.14,147.86,390.41,1.4
3603,3792,5,432.82,155.72,411.92,1.35
3792,3603,20,439.01,177.35,412.86,1.39
3792,3603,22,418.4,174.4,391.29,1.41
3692,3792,16,608.48,397.14,526.48,1.66
3692,3792,5,421.59,240.44,368.86,1.65
3760,3792,15,909.68,527.71,813.01,1.56
3792,3692,23,409.14,217.76,368.99,1.55
3603,3792,5,413.77,164.12,396.27,1.31
3692,3792,2,334.57,161.7,308.95,1.45
3760,3792,2,463.0,200.54,436.56,1.36
3792,3692,11,609.38,287.59,556.16,1.52
3603,3792,7,542.86,272.5,504.9,1.42
3692,3792,4,611.06,312.38,533.05,1.71
3692,3792,7,435.29,324.83,375.48,1.61
3603,3792,10,579.02,261.55,542.32,1.4
3603,3792,17,875.07,388.34,800.42,1.53
3692,3792,14,493.19,319.03,432.49,1.62
3792,3692,8,621.55,280.59,567.19,1.53
3692,3792,1,357.69,185.0,321.24,1.56
3603,3792,4,475.19,197.35,445.34,1.4
3603,3792,15,692.4,257.48,654.86,1.38
3692,3792,12,415.96,218.01,377.66,1.51
3792,3760,13,817.13,323.04,763.42,1.44
3792,3603,6,382.44,116.47,371.55,1.25
3760,3792,19,704.01,238.82,666.51,1.39
3692,3792,21,498.24,257.39,445.77,1.6
3792,3760,21,682.88,226.97,650.57,1.36
3792,3603,14,471.49,153.09,452.84,1.31
3760,3792,5,491.56,183.26,463.32,1.39
3792,3692,14,530.16,252.71,480.82,1.54
3603,3792,19,531.36,200.3,500.37,1.4
3692,3792,16,636.91,453.91,552.33,1.66
3603,3792,22,483.04,188.49,453.07,1.42
3692,3792,19,428.38,218.4,388.52,1.52
3692,3792,23,386.08,188.36,352.6,1.51
3792,3603,15,515.94,226.08,484.05,1.4
3792,3760,22,652.7,264.12,614.24,1.39
3792,3760,2,506.64,128.31,491.24,1.28
3603,3792,12,596.78,237.85,561.07,1.4
3692,3792,9,525.2,469.75,449.64,1.63
3760,3792,8,798.33,558.85,704.17,1.57
3792,3692,17,780.57,369.53,699.84,1.61
3792,3760,15,785.62,266.07,745.05,1.38
3792,3603,8,720.81,248.24,677.99,1.43
3792,3760,4,650.0,281.98,582.64,1.63
3792,3760,8,833.96,305.52,786.7,1.4
3792,3603,1,471.65,216.2,434.97,1.46
3760,3792,16,890.66,387.13,824.0,1.46
3792,3603,11,555.89,271.13,526.15,1.36
3792,3760,18,1016.81,395.66,950.1,1.44
3792,3603,20,425.57,142.83,405.38,1.36
3603,3792,9,625.21,282.59,587.37,1.38
3692,3792,6,363.61,189.01,331.43,1.5
3760,3792,18,861.78,315.42,811.84,1.41
3792,3760,16,932.21,333.35,876.07,1.43
3792,3603,9,758.03,282.15,707.53,1.46
3760,3792,17,937.51,425.87,855.1,1.53
3792,3692,10,672.55,458.63,590.04,1.61
3760,3792,1,530.81,170.96,505.38,1.37
3792,3760,14,785.09,281.73,741.68,1.39
3792,3603,7,503.03,188.85,477.85,1.35
3760,3792,13,674.05,511.33,606.7,1.48
3792,3692,22,492.84,238.98,448.87,1.52
3792,3692,3,380.24,182.32,343.04,1.56
3792,3692,0,377.88,174.79,349.27,1.46
3792,3692,1,375.36,160.0,346.03,1.49
3792,3692,2,372.85,157.87,342.85,1.5
3792,3692,9,752.34,369.24,679.43,1.57
3760,3792,0,559.85,172.35,536.46,1.33
3792,3692,20,486.77,223.07,445.8,1.51
3760,3792,11,637.84,260.45,597.91,1.41
3760,3792,12,708.99,348.12,653.08,1.46
3792,3692,21,494.61,221.05,455.13,1.5
3760,3792,14,852.22,919.87,703.71,1.64
3792,3692,23,441.16,325.62,389.91,1.56
3760,3792,15,767.31,377.35,713.06,1.42
3760,3792,20,694.99,256.9,651.46,1.43
3760,3792,21,729.28,257.04,689.71,1.39
3760,3792,22,685.3,211.47,654.32,1.35
3760,3792,23,584.54,187.98,558.03,1.35
3792,3760,9,965.61,526.6,882.36,1.48
3792,3603,2,313.83,42.89,310.76,1.15
3792,3692,7,500.58,330.93,439.77,1.6
3792,3760,11,823.16,347.19,772.76,1.4
3792,3603,4,381.7,182.8,335.67,1.88
3760,3792,4,848.07,335.87,783.44,1.49
3792,3692,13,522.27,245.95,476.47,1.52
3603,3792,2,412.61,141.02,393.31,1.35
3792,3760,20,662.45,214.62,632.27,1.35
3792,3603,13,470.53,169.73,449.15,1.33
3603,3792,14,657.75,260.72,620.97,1.39
3692,3792,11,431.45,248.14,383.5,1.58
3603,3792,0,400.07,135.75,381.07,1.35
3792,3760,7,631.68,230.18,597.34,1.38
3792,3603,0,411.85,208.66,379.93,1.44
3603,3792,20,496.11,173.28,471.87,1.36
3692,3792,17,655.48,346.21,584.77,1.59
3792,3760,6,712.63,325.77,650.7,1.51
3603,3792,18,707.54,295.25,657.11,1.46
3692,3792,15,589.81,344.87,518.55,1.63
3692,3792,18,561.66,280.35,509.16,1.53
3603,3792,21,517.42,198.17,485.49,1.42
3792,3760,23,596.71,193.15,568.0,1.37
3792,3603,16,579.08,272.02,538.04,1.43
3603,3792,3,397.77,125.42,372.14,1.52
3692,3792,0,370.35,183.52,337.18,1.51
3692,3792,22,432.67,216.58,391.79,1.54
3792,3603,23,402.7,167.46,379.47,1.38
3760,3792,3,703.27,318.72,638.17,1.55
3792,3692,12,550.17,251.84,502.97,1.51
3792,3692,15,545.74,252.05,498.21,1.52
3760,3792,6,543.29,222.97,506.4,1.43
3792,3692,16,646.21,336.4,575.48,1.61
3760,3792,7,826.0,956.7,635.67,1.83
3760,3792,9,988.4,1068.87,757.46,1.86
3792,3692,18,640.74,286.14,582.6,1.55
